N,serial,SIMD,openmp_single_SIMD,pthread,static,dynamic,guided,guided_nowait,openmp+SIMD,static_thread,dynamic_thread,row,colum
100,1.28382,0.6914,1.11928,5.68214,0.98946,1.10512,0.89884,0.8297,0.88666,0.89258,1.16444,0.90122,7.02926
200,9.84506,5.27498,8.08128,12.9701,2.50868,2.94168,2.65674,2.53786,2.47448,2.67136,3.16778,2.65918,26.7435
300,33.2587,17.7215,26.7237,25.4901,5.90436,6.7098,6.50022,5.93614,5.49856,6.40806,7.2573,6.3096,81.2164
400,78.057,41.5094,62.5016,37.4657,9.56804,13.1526,12.1024,11.7268,10.0007,12.1149,13.2091,12.1108,126.437
500,153.204,81.82,122.036,46.8573,17.3326,22.9469,21.4389,20.9759,16.9808,21.4049,22.6868,21.4429,240.44
600,264.586,142.789,211.327,67.0099,32.5289,36.4944,34.9419,34.2271,26.7428,34.8158,36.39,34.8527,316.888
700,419.474,224.398,334.133,93.9803,47.9082,55.2311,52.6686,51.8387,39.3955,52.56,54.4266,52.5974,495.138
800,626.831,335.78,498.492,131.594,68.2243,78.8986,75.836,74.7731,55.689,75.8335,77.8991,75.6808,600.007
900,890.119,475.649,707.011,169.6,91.8144,109.291,105.437,104.203,76.7005,107.641,108.297,105.17,858.473
1000,1221.11,652.026,970.062,221.495,128.331,146.479,141.865,140.325,104.363,141.702,144.311,143.603,973.993
1000,1220.79,652.808,969.457,223.658,125.762,148.221,142.599,140.292,102.333,141.678,144.568,141.52,983.234
1500,4116.48,2195.12,3263.27,573.421,423.402,461.907,451.065,448.478,317.682,453.959,459.395,450.445,2786.84
2000,9736.62,5186.1,7706.22,1090.24,981.088,1048.14,1033.67,1023.09,724.363,1030.51,1034.1,1026.15,5483.45
2500,19017.7,10203.4,15072.2,2098.49,1915.91,2008.4,1973.23,1966.18,1362.62,1978.86,1982.57,1966.04,9972.7
3000,32890,17535.9,26051.6,3447.47,3297.82,3429.42,3382.24,3374.12,2344.9,3389.17,3391.92,3392.95,16712.9
