 ,serial,MPI_block,MPI_cycle,MPI_pipeline,MPI_SIMD,MPI_OMP,MPI_OMP_SIMD,,MPI_block,MPI_cycle,MPI_pipeline,MPI_SIMD,MPI_OMP,MPI_OMP_SIMD
100,0.33862,0.90476,3.77945,3.65523,3.5666,3.91236,4.06474,,0.374264998,0.089595047,0.092639861,0.094941962,0.08655134,0.083306681
200,2.7185,3.72827,10.1691,10.3002,10.0733,10.5972,10.7221,,0.729158564,0.267329459,0.263926914,0.269871839,0.256530027,0.25354175
300,9.10204,10.4317,20.3652,20.3559,19.5031,20.9339,19.8682,,0.872536595,0.44694086,0.447145054,0.466697089,0.434799058,0.458121018
400,21.4773,21.3106,42.0001,41.9716,39.2503,41.1116,38.5392,,1.007822398,0.511363068,0.511710299,0.547188174,0.522414598,0.557284531
500,42.0603,38.6061,65.8516,65.8022,60.0661,62.6272,57.0654,,1.089472907,0.63871341,0.639192915,0.700233576,0.671597964,0.737054327
600,72.9207,63.2224,96.6892,96.792,83.653,86.4704,75.4285,,1.153399744,0.754176268,0.753375279,0.871704541,0.843302448,0.96675262
700,116.331,97.8989,134.915,135.279,112.542,111.4,92.7622,,1.188276886,0.862254012,0.859933914,1.033667431,1.044263914,1.254077631
800,174.761,143.845,185.646,185.523,147.853,136.999,114.965,,1.214925788,0.941366903,0.94199102,1.181991573,1.275637048,1.520123516
900,250.14,203.481,248.521,247.211,191.613,164.244,139.9,,1.229303964,1.00651454,1.011848178,1.305443785,1.522978008,1.787991422
1000,346.754,276.217,316.976,315.751,245.347,212.05,166.701,,1.255368062,1.093944021,1.098188129,1.413320725,1.635246404,2.0800955
1500,1176.88,912.376,891.533,893.707,679.538,456.254,339.622,,1.289906793,1.320063307,1.316852167,1.731882544,2.579440399,3.465264323
2000,2833.69,2107.88,1941.73,1944.59,1435.86,896.433,603.925,,1.344331746,1.459363557,1.457217203,1.973514131,3.16107283,4.692122366
2500,5568.77,4081.31,3571.36,3571.11,2603.29,2083.57,1176.75,,1.36445651,1.559285538,1.559394698,2.139127796,2.672705981,4.732330571
3000,9726.77,7002.86,5951.89,5948.32,4320.35,2268.49,1387.72,,1.388971078,1.634232151,1.635212968,2.251384726,4.287772924,7.00917332
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
N,MPI,MPI_SIMD,MPI_OMP,MPI_OMP_SIMD,,,,,,,,,,
100,0.374264998,0.094941962,0.08655134,0.083306681,,,,,,,,,,
200,0.729158564,0.269871839,0.256530027,0.25354175,,,,,,,,,,
300,0.872536595,0.466697089,0.434799058,0.458121018,,,,,,,,,,
400,1.007822398,0.547188174,0.522414598,0.557284531,,,,,,,,,,
500,1.089472907,0.700233576,0.671597964,0.737054327,,,,,,,,,,
600,1.153399744,0.871704541,0.843302448,0.96675262,,,,,,,,,,
700,1.188276886,1.033667431,1.044263914,1.254077631,,,,,,,,,,
800,1.214925788,1.181991573,1.275637048,1.520123516,,,,,,,,,,
900,1.229303964,1.305443785,1.522978008,1.787991422,,,,,,,,,,
1000,1.255368062,1.413320725,1.635246404,2.0800955,,,,,,,,,,
1500,1.289906793,1.731882544,2.579440399,3.465264323,,,,,,,,,,
2000,1.344331746,1.973514131,3.16107283,4.692122366,,,,,,,,,,
2500,1.36445651,2.139127796,2.672705981,4.732330571,,,,,,,,,,
3000,1.388971078,2.251384726,4.287772924,7.00917332,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
N,MPI,MPI_OMP,K,,,,,,,,,,,
100,0.374264998,0.08655134,0.231256838,,,,,,,,,,,
200,0.729158564,0.256530027,0.351816518,,,,,,,,,,,
300,0.872536595,0.434799058,0.498316129,,,,,,,,,,,
400,1.007822398,0.522414598,0.518359781,,,,,,,,,,,
500,1.089472907,0.671597964,0.616443015,,,,,,,,,,,
600,1.153399744,0.843302448,0.731144993,,,,,,,,,,,
700,1.188276886,1.044263914,0.878805206,,,,,,,,,,,
800,1.214925788,1.275637048,1.049971167,,,,,,,,,,,
900,1.229303964,1.522978008,1.238894572,,,,,,,,,,,
1000,1.255368062,1.635246404,1.30260316,,,,,,,,,,,
1500,1.289906793,2.579440399,1.999710687,,,,,,,,,,,
2000,1.344331746,3.16107283,2.351408303,,,,,,,,,,,
2500,1.36445651,2.672705981,1.95880628,,,,,,,,,,,
3000,1.388971078,4.287772924,3.087013828,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
N,MPI_block,MPI_cycle,,,,,,,,,,,,
100,0.374264998,0.089595047,,,,,,,,,,,,
200,0.729158564,0.267329459,,,,,,,,,,,,
300,0.872536595,0.44694086,,,,,,,,,,,,
400,1.007822398,0.511363068,,,,,,,,,,,,
500,1.089472907,0.63871341,,,,,,,,,,,,
600,1.153399744,0.754176268,,,,,,,,,,,,
700,1.188276886,0.862254012,,,,,,,,,,,,
800,1.214925788,0.941366903,,,,,,,,,,,,
900,1.229303964,1.00651454,,,,,,,,,,,,
1000,1.255368062,1.093944021,,,,,,,,,,,,
1500,1.289906793,1.320063307,,,,,,,,,,,,
2000,1.344331746,1.459363557,,,,,,,,,,,,
2500,1.36445651,1.559285538,,,,,,,,,,,,
3000,1.388971078,1.634232151,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
N,MPI,MPI_pipeline,K,,,,,,,,,,,
100,0.374264998,0.092639861,0.247524779,,,,,,,,,,,
200,0.729158564,0.263926914,0.361960933,,,,,,,,,,,
300,0.872536595,0.447145054,0.512465674,,,,,,,,,,,
400,1.007822398,0.511710299,0.507738566,,,,,,,,,,,
500,1.089472907,0.639192915,0.586699229,,,,,,,,,,,
600,1.153399744,0.753375279,0.653177949,,,,,,,,,,,
700,1.188276886,0.859933914,0.723681428,,,,,,,,,,,
800,1.214925788,0.94199102,0.775348609,,,,,,,,,,,
900,1.229303964,1.011848178,0.823106577,,,,,,,,,,,
1000,1.255368062,1.098188129,0.874793746,,,,,,,,,,,
1500,1.289906793,1.316852167,1.020889396,,,,,,,,,,,
2000,1.344331746,1.457217203,1.083971428,,,,,,,,,,,
2500,1.36445651,1.559394698,1.142868744,,,,,,,,,,,
3000,1.388971078,1.635212968,1.17728367,,,,,,,,,,,
