N,serial,MPI_block,MPI_cycle,MPI_pipeline,MPI_SIMD,MPI_OMP,MPI_OMP_SIMD
100,1.56398,2.38807,5.18199,8.20069,5.15536,6.383,6.69811
200,12.4596,6.14119,10.6231,17.1908,10.1122,13.5838,12.9169
300,41.8384,15.1638,19.3318,27.7777,17.0076,23.596,21.5289
400,98.9403,29.8188,32.5433,45.513,26.6644,43.1491,40.3088
500,193.401,53.3581,53.3547,65.7848,39.9626,59.0443,51.8993
600,336.782,85.7243,78.0663,93.0645,56.664,80.4404,65.9688
700,534.298,127.096,113.688,128.134,78.5569,103.444,85.5432
800,792.936,193.511,161.567,178.092,105.941,134.598,109.95
900,1130.92,265.652,216.806,238.955,142.08,183.351,131.895
1000,1549.75,365.856,283.696,304.846,181.186,217.019,162.675
1500,5227.93,1248.94,884.173,918.488,587.471,587.938,400.506
2000,12547.3,2855.66,2014.88,2080,1231.45,1220.32,775.817
2500,24559,5482.94,3826.77,3889.44,2339.07,2357.57,1335.25
3000,42296.9,9959.27,6529.16,6605.21,3978.63,3689.22,2177.82
